what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.debug.ui",1452717937202
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452717949636
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452718338515
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1452718370938
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452718373104
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452718391221
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1452718394940
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1452718401394
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452718409791
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452718706288
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1452718768699
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1452718772699
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452718790474
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452718803555
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1452718806517
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1452718832418
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1452718838482
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452718842442
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452718843664
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1452718844373
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1452718860251
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452718863240
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452718864409
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1452718865541
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1452718878715
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452718881511
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452718882595
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1452718883350
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452718897773
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452719989504
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452719993673
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.0.v201006082045,"org.eclipse.wst.jsdt.debug.core",1452719994760
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1452719995530
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1452719997114
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1452719997164
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1452719997186
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1452719997244
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1452719997292
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1452719997311
